itemcode	date	close_val	change_val	open_val	high_val	low_val	itemname	country_name
INI@BSE30	20150101	27507.54	8.12	27485.77	27545.61	27395.34	인도 SENSEX	인도
INI@BSE30	20150107	26908.82	-78.64	26983.43	27051.60	26776.12	인도 SENSEX	인도
INI@BSE30	20150113	27425.73	-159.54	27611.56	27670.19	27324.58	인도 SENSEX	인도
INI@BSE30	20150116	28121.89	46.34	28056.61	28176.10	27945.31	인도 SENSEX	인도
INI@BSE30	20150119	28262.01	140.12	28249.84	28334.06	28197.36	인도 SENSEX	인도
INI@BSE30	20150122	29006.02	117.16	28957.79	29060.41	28892.23	인도 SENSEX	인도
INI@BSE30	20150128	29559.18	-11.86	29565.72	29786.32	29417.67	인도 SENSEX	인도
INI@BSE30	20150203	29000.14	-122.13	29217.40	29253.06	28900.41	인도 SENSEX	인도
INI@BSE30	20150206	28717.91	-133.06	28892.21	28922.85	28647.14	인도 SENSEX	인도
INI@BSE30	20150209	28227.39	-490.52	28566.50	28566.50	28183.32	인도 SENSEX	인도
INI@BSE30	20150212	28805.10	271.13	28650.25	28838.52	28406.25	인도 SENSEX	인도
INI@BSE30	20150218	29320.26	184.38	29136.07	29411.32	29126.91	인도 SENSEX	인도
INI@BSE30	20150224	29004.66	29.55	29016.55	29130.67	28875.94	인도 SENSEX	인도
INI@BSE30	20150227	29220.12	473.47	28865.12	29254.02	28837.06	인도 SENSEX	인도
INI@BSE30	20150302	29459.14	97.64	29533.42	29576.32	29259.77	인도 SENSEX	인도
INI@BSE30	20150305	29448.95	68.22	29436.77	29518.32	29162.47	인도 SENSEX	인도
INI@BSE30	20150311	28659.17	-50.7	28725.75	28843.23	28608.18	인도 SENSEX	인도
INI@BSE30	20150317	28736.38	298.67	28595.00	28784.35	28435.45	인도 SENSEX	인도
INI@BSE30	20150320	28261.08	-208.59	28465.44	28484.36	28209.66	인도 SENSEX	인도
INI@BSE30	20150323	28192.02	-69.06	28317.29	28385.14	28163.90	인도 SENSEX	인도
INI@BSE30	20150326	27457.58	-654.25	27937.62	27997.14	27384.87	인도 SENSEX	인도
INI@BSE30	20150401	28260.14	302.65	27954.86	28298.34	27889.02	인도 SENSEX	인도
INI@BSE30	20150407	28516.59	12.13	28582.33	28641.08	28274.36	인도 SENSEX	인도
INI@BSE30	20150410	28879.38	-5.83	28889.27	28907.81	28756.75	인도 SENSEX	인도
INI@BSE30	20150413	29044.44	165.06	28955.13	29072.51	28843.94	인도 SENSEX	인도
INI@BSE30	20150416	28666.04	-133.65	28876.23	28876.23	28497.70	인도 SENSEX	인도
INI@BSE30	20150422	27890.13	214.09	27756.68	27947.26	27385.48	인도 SENSEX	인도
INI@BSE30	20150428	27396.38	219.39	27215.61	27482.14	27073.25	인도 SENSEX	인도
INI@BSE30	20150506	26717.37	-722.77	27473.36	27501.15	26677.64	인도 SENSEX	인도
INI@BSE30	20150512	26877.48	-629.82	27502.91	27502.91	26837.39	인도 SENSEX	인도
INI@BSE30	20150515	27324.00	117.94	27233.90	27379.57	27159.76	인도 SENSEX	인도
INI@BSE30	20150518	27687.30	363.3	27416.97	27725.97	27370.28	인도 SENSEX	인도
INI@BSE30	20150521	27809.35	-27.86	27885.36	27911.44	27712.73	인도 SENSEX	인도
INI@BSE30	20150527	27564.66	33.25	27447.40	27595.80	27363.72	인도 SENSEX	인도
INI@BSE30	20150602	27188.38	-660.61	27890.73	27902.53	27146.68	인도 SENSEX	인도
INI@BSE30	20150605	26768.49	-44.93	26819.82	27014.42	26718.44	인도 SENSEX	인도
INI@BSE30	20150608	26523.09	-245.4	26814.31	26827.06	26472.87	인도 SENSEX	인도
INI@BSE30	20150611	26370.98	-469.52	26959.98	27000.14	26348.93	인도 SENSEX	인도
INI@BSE30	20150617	26832.66	146.15	26815.41	26983.48	26728.89	인도 SENSEX	인도
INI@BSE30	20150623	27804.37	74.16	27760.11	27882.66	27666.59	인도 SENSEX	인도
INI@BSE30	20150626	27811.84	-84.13	27880.72	27921.86	27675.16	인도 SENSEX	인도
INI@BSE30	20150629	27645.15	-166.69	27451.07	27695.32	27209.19	인도 SENSEX	인도
INI@BSE30	20150701	28020.87	240.04	27823.65	28099.25	27799.91	인도 SENSEX	인도
INI@BSE30	20150707	28171.69	-37.07	28220.11	28335.23	28084.36	인도 SENSEX	인도
INI@BSE30	20150710	27661.40	87.74	27705.36	27729.46	27530.90	인도 SENSEX	인도
INI@BSE30	20150713	27961.19	299.79	27739.32	28005.17	27635.06	인도 SENSEX	인도
INI@BSE30	20150716	28446.12	247.83	28259.70	28478.43	28245.81	인도 SENSEX	인도
INI@BSE30	20150722	28504.93	322.79	28159.42	28546.42	28070.91	인도 SENSEX	인도
INI@BSE30	20150728	27459.23	-102.15	27630.21	27676.65	27416.39	인도 SENSEX	인도
INI@BSE30	20150731	28114.56	409.21	27814.51	28161.17	27814.51	인도 SENSEX	인도
INI@BSE30	20150803	28187.06	72.5	28089.09	28263.35	28071.37	인도 SENSEX	인도
