date	deal_val	change_val	change_rate	buy_val	sell_val	deposit_val	withdraw_val	international_val	usd_rate
20150107	43037.95	220.23	0.51434	45189.84	40886.06	43468.32	42607.58	1214.85	1102.00
20150113	43276.83	641.66	1.50500	45440.67	41112.99	43709.59	42844.07	1242.45	1083.50
20150116	43593.24	919.74	2.15530	45772.90	41413.58	44029.17	43157.31	1257.92	1078.00
20150119	44243.53	650.29	1.49172	46455.70	42031.36	44685.96	43801.10	1275.50	1079.00
20150122	44915.09	-362.83	-0.80134	47160.84	42669.34	45364.24	44465.94	1287.70	1085.00
20150128	44897.33	435.30	0.97904	47142.19	42652.47	45346.30	44448.36	1288.38	1084.00
20150203	45369.66	140.49	0.31062	47638.14	43101.18	45823.35	44915.97	1283.58	1099.50
20150206	44410.74	-17.24	-0.03880	46631.27	42190.21	44854.84	43966.64	1267.40	1090.00
20150209	43676.16	-734.58	-1.65406	45859.96	41492.36	44112.92	43239.40	1240.18	1095.50
20150212	43744.51	-5.25	-0.01200	45931.73	41557.29	44181.95	43307.07	1227.00	1109.00
20150224	42808.76	251.25	0.59038	44949.19	40668.33	43236.84	42380.68	1198.05	1111.50
20150227	42636.23	-192.29	-0.44898	44768.04	40504.42	43062.59	42209.87	1205.15	1100.50
20150302	43145.98	509.75	1.19558	45303.27	40988.69	43577.43	42714.53	1218.45	1101.50
20150305	42510.49	-81.50	-0.19135	44636.01	40384.97	42935.59	42085.39	1201.05	1101.00
20150311	42094.13	216.29	0.51648	44198.83	39989.43	42515.07	41673.19	1161.85	1127.00
20150317	41819.20	-348.41	-0.82625	43910.16	39728.24	42237.39	41401.01	1153.75	1127.50
20150320	42410.47	409.65	0.97534	44530.99	40289.95	42834.57	41986.37	1171.10	1126.50
20150323	42380.08	-30.39	-0.07166	44499.08	40261.08	42803.88	41956.28	1181.80	1115.50
20150326	43117.87	845.37	1.99981	45273.76	40961.98	43549.04	42686.70	1213.80	1105.00
20150401	41990.55	-92.01	-0.21864	44090.07	39891.03	42410.45	41570.65	1182.60	1104.50
20150407	42380.44	-208.09	-0.48861	44499.46	40261.42	42804.24	41956.64	1208.35	1091.00
20150410	42318.66	315.43	0.75097	44434.59	40202.73	42741.84	41895.48	1203.28	1094.00
20150413	42501.57	182.91	0.43222	44626.64	40376.50	42926.58	42076.56	1198.62	1103.00
20150416	42185.14	205.03	0.48840	44294.39	40075.89	42606.99	41763.29	1204.99	1089.00
20150422	41671.72	19.81	0.04756	43755.30	39588.14	42088.43	41255.01	1200.80	1079.50
20150428	41350.45	531.58	1.30229	43417.97	39282.93	41763.95	40936.95	1201.00	1071.00
20150506	41418.64	307.67	0.74839	43489.57	39347.71	41832.82	41004.46	1191.30	1081.50
20150512	41770.95	124.30	0.29846	43859.49	39682.41	42188.65	41353.25	1185.00	1096.50
20150515	42593.66	-2.47	-0.00580	44723.34	40463.98	43019.59	42167.73	1218.90	1087.00
20150518	42944.87	351.21	0.82456	45092.11	40797.63	43374.31	42515.43	1228.95	1087.00
20150521	42581.87	10.05	0.02361	44710.96	40452.78	43007.68	42156.06	1211.32	1093.50
