itemcode	itemname	date	close_val	change_val	open_val	high_val	low_val
IPE@EB	브렌트유	20150107	51.15	0.05	51.15	51.84	49.66
IPE@EB	브렌트유	20150113	46.59	-0.84	47.06	47.19	45.19
IPE@EB	브렌트유	20150116	50.17	1.9	48.25	50.41	48.07
IPE@EB	브렌트유	20150119	48.84	-1.33	50.1	50.35	48.68
IPE@EB	브렌트유	20150122	48.52	-0.51	48.6	50.45	48.02
IPE@EB	브렌트유	20150128	48.47	-1.13	49.1	49.72	48.29
IPE@EB	브렌트유	20150203	57.91	3.16	55.0	59.0	54.84
IPE@EB	브렌트유	20150206	57.8	1.23	56.74	59.06	56.71
IPE@EB	브렌트유	20150209	58.34	0.54	57.93	59.61	57.3
IPE@EB	브렌트유	20150212	57.05	2.39	55.12	57.5	54.72
IPE@EB	브렌트유	20150218	60.53	-2.0	62.3	62.46	60.02
IPE@EB	브렌트유	20150224	58.66	-0.24	59.09	60.3	58.1
IPE@EB	브렌트유	20150227	62.58	2.53	60.75	62.83	60.51
IPE@EB	브렌트유	20150302	59.54	-3.04	62.5	62.5	59.34
IPE@EB	브렌트유	20150305	60.48	-0.07	60.6	61.57	60.08
IPE@EB	브렌트유	20150311	57.54	1.15	56.45	57.91	55.92
IPE@EB	브렌트유	20150317	53.51	-0.43	54.1	54.38	52.57
IPE@EB	브렌트유	20150320	55.32	0.89	54.46	55.67	53.55
IPE@EB	브렌트유	20150323	55.92	0.6	55.24	56.19	54.12
IPE@EB	브렌트유	20150326	59.19	2.71	56.35	59.78	56.3
IPE@EB	브렌트유	20150401	57.1	1.99	55.18	57.69	54.7
IPE@EB	브렌트유	20150407	59.1	0.98	57.8	59.27	57.02
IPE@EB	브렌트유	20150410	57.87	1.3	56.84	58.12	56.25
IPE@EB	브렌트유	20150413	57.93	0.06	58.02	59.54	57.46
IPE@EB	브렌트유	20150416	63.98	0.66	62.9	64.95	62.0
IPE@EB	브렌트유	20150422	62.73	0.65	61.9	63.33	61.39
IPE@EB	브렌트유	20150428	64.64	-0.19	64.74	65.49	63.9
IPE@EB	브렌트유	20150506	67.77	0.25	67.71	69.63	67.35
IPE@EB	브렌트유	20150512	66.86	1.95	64.77	67.09	64.68
IPE@EB	브렌트유	20150515	66.81	0.11	66.75	67.0	65.37
IPE@EB	브렌트유	20150518	66.27	-0.54	66.91	67.88	65.92
IPE@EB	브렌트유	20150521	66.54	1.51	64.89	66.88	64.83
IPE@EB	브렌트유	20150527	62.06	-1.66	63.89	64.67	61.96
IPE@EB	브렌트유	20150602	65.49	0.61	64.9	65.88	64.58
IPE@EB	브렌트유	20150605	63.31	1.28	62.08	63.43	60.94
IPE@EB	브렌트유	20150608	62.69	-0.62	63.06	63.38	62.47
IPE@EB	브렌트유	20150611	65.11	-0.59	65.57	66.06	64.5
IPE@EB	브렌트유	20150617	63.87	0.17	63.6	65.47	62.6
IPE@EB	브렌트유	20150623	64.45	1.11	63.21	64.89	62.76
IPE@EB	브렌트유	20150626	63.26	0.06	63.34	63.62	62.5
IPE@EB	브렌트유	20150629	62.01	-1.25	62.85	62.96	61.35
IPE@EB	브렌트유	20150701	62.01	-1.58	63.02	63.35	61.84
IPE@EB	브렌트유	20150707	56.85	0.31	56.85	57.68	55.1
IPE@EB	브렌트유	20150710	58.73	0.12	58.49	59.66	57.86
IPE@EB	브렌트유	20150713	57.85	-0.88	58.35	58.83	56.84
IPE@EB	브렌트유	20150716	57.51	0.46	57.31	58.21	56.95
IPE@EB	브렌트유	20150722	56.13	-0.91	56.88	56.9	55.95
IPE@EB	브렌트유	20150728	53.3	-0.17	53.08	54.08	52.28
IPE@EB	브렌트유	20150731	52.21	-1.1	53.43	53.47	51.7
IPE@EB	브렌트유	20150803	49.52	-2.69	51.55	52.01	49.36
IPE@EB	브렌트유	20150806	49.52	-0.07	49.72	49.83	48.88
IPE@EB	브렌트유	20150812	49.66	0.48	49.38	50.01	48.72
IPE@EB	브렌트유	20150818	48.81	0.07	48.55	49.04	48.25
IPE@EB	브렌트유	20150821	45.46	-1.16	46.34	46.51	45.07
IPE@EB	브렌트유	20150824	42.69	-2.77	45.35	45.46	42.23
IPE@EB	브렌트유	20150827	47.56	4.42	43.75	47.66	43.7
IPE@EB	브렌트유	20150902	50.5	0.94	48.62	51.0	47.74
IPE@EB	브렌트유	20150908	49.52	1.89	47.76	49.85	47.64
IPE@EB	브렌트유	20150911	48.14	-0.75	48.64	48.98	47.16
IPE@EB	브렌트유	20150914	46.37	-1.77	48.08	48.35	46.26
IPE@EB	브렌트유	20150917	49.08	-0.67	49.98	50.14	48.32
IPE@EB	브렌트유	20150923	47.75	-1.33	49.08	50.25	47.68
IPE@EB	브렌트유	20150929	48.23	0.89	47.45	48.65	47.25
IPE@EB	브렌트유	20151001	47.69	-0.68	48.4	49.84	47.62
IPE@EB	브렌트유	20151007	51.33	-0.59	52.15	53.15	51.21
IPE@EB	브렌트유	20151013	49.24	-0.62	50.27	50.7	48.93
IPE@EB	브렌트유	20151016	50.46	0.73	50.21	50.7	49.31
IPE@EB	브렌트유	20151019	48.61	-1.85	50.38	50.68	48.57
IPE@EB	브렌트유	20151022	48.08	0.23	47.96	48.73	47.65
IPE@EB	브렌트유	20151028	49.05	2.24	46.91	49.23	46.61
IPE@EB	브렌트유	20151103	50.54	1.75	48.9	50.91	48.46
IPE@EB	브렌트유	20151106	47.42	-0.56	48.05	48.58	47.27
IPE@EB	브렌트유	20151109	47.19	-0.23	47.46	48.41	47.01
IPE@EB	브렌트유	20151112	45.19	-1.42	46.74	47.07	45.0
IPE@EB	브렌트유	20151118	44.14	0.57	43.97	44.74	43.34
IPE@EB	브렌트유	20151124	46.12	1.29	45.11	46.5	44.92
IPE@EB	브렌트유	20151127	44.86	-0.6	45.57	45.63	44.79
IPE@EB	브렌트유	20151130	44.61	-0.25	44.86	45.75	44.44
IPE@EB	브렌트유	20151202	42.49	-1.95	44.32	44.64	42.43
